word,definition,translation
burner gas,,[机] 炉气
burner gauze,,[机] 顶纱
burner gauze keep ring,,[机] 顶纱圈
burner guard,,[机] 护焰罩
burner hearth,,"[机] 炉底, 炉床"
burner lining,,[机] 炉衬
burner oil,,"[机] 燃烧油, 喷射燃料"
burner opening,,[机] 燃烧器口
burner port,,[机] 火嘴
burner rim,,[机] 燃烧器缘
burner setting,,[机] 炉子的砌体
burner tail pipe,,[机] 灯头尾管
burner tip,,[机] 燃烧器尖端
burner's platfor,,[机] 看火台
burner(automatic on-off type),,[化] 自动开关式燃烧器
burner-gas cooler,,[机] 炉气冷却器
burners,n an apparatus for burning fuel (or refuse)\nn the heating elements of a stove or range on which pots and pans are placed for cooking,n. 燃烧器；烧嘴；炉子（burner的复数）
burnes,, [人名] 伯恩斯
burness,, [人名] [苏格兰人姓氏] 伯尼斯 Burns的变体
burnet,"n. A genus of perennial herbs (Poterium); especially,\n   P.Sanguisorba, the common, or garden, burnet.","n. 小地榆, 美洲地榆"
burnet bloodwort,,[网络] 燃烧血腥
burnets,"plural of burnet\nn. A genus of perennial herbs (Poterium); especially,\n   P.Sanguisorba, the common, or garden, burnet.","(burnet 的复数) n. 小地榆, 美洲地榆"
burnett,n. United States writer (born in England) remembered for her novels for children (1849-1924),n. 伯内特（姓氏）
Burnett's disinfecting Fluid,,[医] 伯纳特氏消毒液
Burnett's solution,,[医] 伯纳特氏溶液(氯化锌溶液)
Burnett's syndrome,,[医] 伯讷特氏综合征
burnette,, [人名] 伯内特
burnettize,"v. t. To subject (wood, fabrics, etc.) to a process of\n   saturation in a solution of chloride of zinc, to prevent decay; -- a\n   process invented by Sir William Burnett.","将(木材, 帆布等)浸入氯化锌以防腐"
burnettized,imp. & p. p. of Burnettize,vi. 【工程】氯化锌浸渍
burnettizing,p. pr. & vb. n. of Burnettize," 护材作业法, 氯化锌防腐法"
Burney,,伯尼(姓氏)
Burnham,n. United States architect who designed the first important skyscraper with a skeleton (1846-1912),n. (Burnham)人名；(英、西)伯纳姆
burnie,n. A small brook.,[苏]小溪
burnilng tongue,,[医] 舌灼痛
burning,n. the act of burning something\nn. execution by fire\nn. a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin\ns. of immediate import,"a. 燃烧的, 象燃烧一样的\nn. 烧, 燃烧"
burning at the stake,,[网络] 火刑
burning bar of lead,,[机] 铅焊条
burning bush,, 燃烧灌木
burning gases,,[机] 燃烧气体
burning ghat,,(印度的)河边火葬场
burning glass,,取火镜
burning in bulk,,[机] 主体中燃烧
burning kerosene,,[机] 灯用煤油
burning loss,,[化] 烧损
burning of clay,,[机] 粘土烧成
burning of gas,,[机] 气体燃烧
burning of lead,,[化] 铅焊
burning of paper,,[机] 纸之过干作用
burning of rubber,,[机] 橡胶的培焦
burning oil,,[机] 燃烧油
burning on,,[机] 铸补
burning out,,[机] 烧尽
burning pain,,"[医] 灼痛, 烧痛"
burning pit,,[机] 燃烧坑
burning point,,燃点\n[机] 燃(烧)点
burning quality,,[机] 燃烧质量
burning quality index,,[机] 燃烧质量指数
burning quality test,,[机] 燃烧质量试验灯油
burning rate,,[化] 燃烧率
burning ratio,,[经] 再保险赔款率
burning sensation,,[医] 灼觉
burning shrinkage,,[机] 燃烧收缩
burning surface,,[机] 燃烧表面
burning taste,,[医] 灼烈味
burning temperature,,[机] 燃烧温度
burning test,,[机] 燃烧试验
burning time,,[机] 燃烧时间
burning velocity,,[机] 燃烧速度
burning words,,n. 热情的话
burning zone,,"[机] 燃烧层, 燃烧段"
burning-bush,,[医] 美[紫]卫矛
burning-drops sign,,[医] 烧灼滴征(见于胃溃疡穿孔)
burning-feet,,"[医] 足底灼痛, 烧灼样足(可能为一种泛酸缺乏症)"
burning-in,, 金属渗入砂型，钢包砂
burning-off curve,,[化] 燃烧曲线
burning-off of coke,,[化] 烧除结焦(催化剂上沉积的)
burning-off oil slicks,,[化] 燃烧除去浮油; 燃烧除去浮油(水面上)
burningly,,adv. burning的变形
burnings,plural of burning\nn. the act of burning something\nn. execution by fire\nn. a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin\ns. of immediate import,"(burning 的复数) a. 燃烧的, 象燃烧一样的\nn. 烧, 燃烧"
burnish,n the property of being smooth and shiny\nv polish and make shiny,"vt. 擦亮, 打磨, 磨光\nvi. 磨光发亮\nn. 光辉, 光泽"
burnish(ing),,[化] 抛光; 磨光; 砑光
burnished,v polish and make shiny\ns made smooth and bright by or as if by rubbing; reflecting a sheen or glow,"a. 抛光的, 光亮的\nv. 擦亮（金属等）, 磨光( burnish的过去式和过去分词 ); 被擦亮, 磨光"
burnisher,"n. One who burnishes.\nn. A tool with a hard, smooth, rounded end or surface, as\n   of steel, ivory, or agate, used in smoothing or polishing by rubbing.\n   It has a variety of forms adapted to special uses.",n. 磨擦抛火器\n[医] 磨光器
burnishes,n the property of being smooth and shiny\nv polish and make shiny,"v. 擦亮（金属等）, 磨光( burnish的第三人称单数 ); 被擦亮, 磨光"
burnishing,v polish and make shiny,"n. 磨擦抛火\n[计] 抛光, 压印"
burnishing broach,,[机] 擦光拉刀
burnishing die,,[机] 擦光模
burnishing machine,,[机] 擦光机
burnison,, [人名] 伯尼森
burniston,, [人名] 伯尼斯顿; [地名] [英国] 伯尼斯顿
Burnley,,n. 伯恩利（英国城市）；伯恩利队（足球俱乐部）
burnoose,n a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,n. <美>=burnous(e)
burnoosed,,a. burnous(e)的变形
burnous,n a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,n. (阿拉伯等人穿的)带有包头巾的呢斗篷
burnouse,n. a long hooded cloak woven of wool in one piece; worn by Arabs and Moors,n. 带有头巾的外衣
burnout,,"n. 烧尽, 烧坏, 熄火\n[化] 燃尽"
burnquist,, [人名] 伯恩奎斯特
burns,n. United States comedian and film actor (1896-1996)\nn. celebrated Scottish poet (1759-1796),n. 络腮胡子
Burns' amaurosis,,"[医] 伯恩斯氏黑蒙, 婚后弱视"
Burns' ligament,,[医] 伯恩斯氏韧带(阔筋膜镰缘)
Burns' space,,"[医] 伯恩斯氏间隙, 颈静脉窝"
Burns's amaurosis,,"[医] 伯恩斯氏黑蒙, 婚后弱视"
Burns's ligament,,[医] 伯恩斯氏韧带(阔筋膜镰缘)
Burns's space,,"[医] 伯恩斯氏间隙, 颈静脉窝"
Burnside,n. United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881),[计] 伯恩赛德
Burnside's lemma,,[计] 伯恩赛德引理
burnsides,n United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881)\nn facial hair that has grown down the side of a man's face in front of the ears (especially when the rest of the beard is shaved off),[复]n.伯恩赛德式连鬓胡子(指下巴剃净、唇上和两腮留的长而密的胡子)
burnstad,, [地名] [美国] 伯恩斯塔德
Burnsville,,n. 伯恩斯维尔（美国明尼苏达州东南部城市名）
burnt,"v destroy by fire\nv shine intensely, as if with heat\nv undergo combustion\nv cause a sharp or stinging pain or discomfort\nv cause to burn or combust\nv feel strong emotion, especially anger or passion\nv cause to undergo combustion\nv burn at the stake\nv spend (significant amounts of money)\nv feel hot or painful\nv burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent\nv get a sunburn by overexposure to the sun\nv create by duplicating data\nv use up (energy)\nv burn with heat, fire, or radiation\ns ruined by overcooking\ns treated by heating to a high temperature but below the melting or fusing point\ns destroyed or badly damaged by fire",burn的过去式和过去分词
burnt alum,,"[化] 焦明矾; 烧明矾\n[医] 煅明矾, 干燥明矾"
burnt blende,,[机] 闪锌矿灰渣
burnt coal,,[机] 天燃焦炭
burnt dolomite,,[机] 烧结白云石
burnt gas,,[机] 燃烧过的气体
burnt iron,,"[机] 过烧铁, 烧铁"
burnt lime,,[化] 煅石灰; 氧化钙
burnt metal,,"[机] 过烧金属, 过烧金属液"
burnt ochre,,n. 烧赭石
burnt odour,,[化] 焦臭
burnt offering,,n. 燔祭品
burnt oil,,[机] 燃油
burnt on sand,,[化] 粘砂
burnt ore,,[机] 燃烧矿
burnt out,, [体]运动员黄金时代已过的
burnt paper,,[化] 过干纸
burnt plaster,,[化] 烧石膏; 煅石膏
burnt potash,,[化] 氧化钾
burnt pyrite,,[机] 燃烧黄铁矿
burnt rubber,,[机] 焦橡胶
burnt sand,,[机] 烧毁铸砂
burnt sienna,,n. 烧赭石; 暗红橙色; 富铁煅黄土
burnt sponge,,[医] 煅制海绵
burnt stock,,[机] 焦母份
burnt sugar,,[化] 焦糖\n[医] 焦糖
burnt sugar coloring,,[医] 焦糖(着)色
burnt together,,[化] 烧焊
burnt umber,,"[医] 烧棕土, 煅棕土"
burnt-on sand,,[化] 粘砂
burnt-out,s exhausted as a result of longtime stress\ns inoperative as a result of heat or friction\ns destroyed or badly damaged by fire,a. 竭尽的; 烧坏的; 疲倦不堪的; 烂花
burnt-up fuel elements,,[化] 燃烧过的燃料元件
burnthrough,,烧毁
burntout,, [医]烧尽，烧光
burnup,, 燃耗
burnup analysis,,[化] 燃耗分析
buro,,布罗(一种菲律宾菜肴)
burow,, [地名] [德国] 布罗
Burow's operation,,[医] 布罗夫氏手术(切除肿瘤无瘢成形术)
Burow's solution,,[医] 布罗夫氏溶液(醋酸铝溶液)
Burow's vein,,[医] 布罗夫氏静脉(腹壁下静脉连于门静脉的支)
burp,v. expel gas from the stomach,"n. 饱嗝儿, 打嗝\nv. 打饱嗝"
burp gun,," 连发手枪, 自动手枪; (尤指第二次世界大战中德军使用的)短冲锋枪"
burped,v expel gas from the stomach,v. 打嗝( burp的过去式和过去分词 )
burpee,, [人名] 伯比
burper,,"[美国口语]\nn. 打嗝；饱嗝；嗳气；类似饱嗝的声音\nvi. 打嗝, 嗳气："
burpers,plural of burper,"(burper 的复数) [美国口语]\nn. 打嗝；饱嗝；嗳气；类似饱嗝的声音\nvi. 打嗝, 嗳气："
burping,n a reflex that expels gas noisily from the stomach through the mouth\nv expel gas from the stomach,v. 打嗝( burp的现在分词 )
burpo,, [人名] 伯波
burps,n a reflex that expels gas noisily from the stomach through the mouth\nv expel gas from the stomach,"n. 打嗝, 饱嗝( burp的名词复数 )\nv. 打嗝( burp的第三人称单数 )"
burqa,n. a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,n. 布卡（伊斯兰国家妇女穿的蒙面长袍）
burquism,,"[医] 伯克氏疗法(贴用数种金属于患部,治癔病及其它精神病)"
burr,n. rough projection left on a workpiece after drilling or cutting\nn. United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)\nn. rotary file for smoothing rough edges left on a workpiece,"n. 毛边, 钻孔器, 芒刺\nv. 发音含混地说话"
burr cells,,"[医] 钝锯齿状红细胞, 棘红细胞"
burr drill,, [医]牙钻
burr marigold,,[网络] 毛刺万寿菊
burr oak,, [地名] [美国] 伯奥克
burr-drill,,"n. (牙科用)圆头锉, 钻锥"
burr-headed,,[网络] 毛刺头
Burra,,大人(印度人对家长、军官、首长等的尊称)
burrage,, [人名] [英格兰人姓氏] 伯雷奇 Burridge的变体
burrah,,(非洲土人穿的)彩色条子棉布
burrard,, [人名] 伯拉德
burrawang,,n. <澳>[植]螺旋大泽米(或其硬壳果)
burred,imp. & p. p. of Burr,"v. （多）刺果, （刺果般的）粘附物, 牙钻( bur的过去式和过去分词 )"
burrel,"n. A sort of pear, called also the red butter pear, from its\n   smooth, delicious, soft pulp.\nn. Same as Borrel.", [地名] [美国] 伯勒尔; [地名] [阿尔巴尼亚] 布雷尔
Burrel-Orsat apparatus,,[化] 伯勒尔-奥尔萨气体分析器
Burrell,,n. (Burrell)人名；(英、西)伯勒尔
burren,, [地名] [爱尔兰] 巴伦（地区）
burrer,,"n. [亦作 buhr]【工程】(木材、金属被切、钻、冲击、雕刻后留下的)毛口, 毛边, 毛头, 毛刺\nvt. 使形成毛边(或毛口)；从(金属、机件)磨去毛边(或毛口)(=deburr)\nvi. 用牙钻"
burrer salt solution,,[医] 缓冲盐溶液
burress,, [人名] 伯雷斯
burrfish,, [医]短刺？
burrhead,,n. <美俚>黑人
burrhel,"n. The wild Himalayan, or blue, sheep (Ovis burrhel).",n. = bharal
Burrhus Frederic Skinner,,n. 伯尔赫斯·弗雷德里克·斯金纳
Burri's method,,[医] 布里氏法(用墨汁作背景而显影的显微镜检查)
Burridge,,n. (Burridge)人名；(英)伯里奇
Burridges,plural of Burridge,(Burridge 的复数) n. (Burridge)人名；(英)伯里奇
burried,past participle of burry\ns having or covered with protective barbs or quills or spines or thorns or setae etc.,(burry 的过去分词) a. 多刺的
burried layer process,,[电] 埋层步骤
burrill,, [人名] 伯里尔
burring,p. pr. & vb. n. of Burr,"v. （多）刺果, （刺果般的）粘附物, 牙钻( bur的现在分词 ); 去毛口; 去草"
burring reamer,,[机] 光口绞刀
burris,, [人名] [英格兰人姓氏] 伯里斯 Burrows的变体; [地名] [美国] 伯里斯
burrises,,n. 贝尔雷斯（一种重力仪名称）
burrito,n. a flour tortilla folded around a filling,n. 墨西哥玉米煎饼
Burritoing,,n. [西班牙语] 【烹饪】(墨西哥)面卷饼，玉米卷饼，玉米馅饼
burritos,plural of burrito\nn. a flour tortilla folded around a filling,(burrito 的复数) n.墨西哥玉米煎饼
burritt,, [人名] 伯里特
burrknot,,瘤节
burrlike,,[网络] 毛刺
burro,n. small donkey used as a pack animal,n. 小驴
burro deer,,[网络] 驴鹿
burrobrush,,(蔓生具分枝的)菊科灌木
burrock,n. A small weir or dam in a river to direct the stream to\n   gaps where fish traps are placed.," 堤堰, 河中小堰"
burros,,n. 驴子（尤指美国西南部用作驮畜的驴）( burro的名词复数 )
Burrough,,n. (Burrough)人名；(英)伯勒
Burroughs,n. United States writer noted for his works portraying the life of drug addicts (1914-1997)\nn. United States inventor who patented the first practical adding machine (1855-1898)\nn. United States novelist and author of the Tarzan stories (1875-1950),伯勒斯 Burrows的变体
Burroughs Corporation,,[计] 布劳斯公司
Burroughs Scientifc Processor,,[计] 布劳斯科学处理机
burrow,"n. a hole made by an animal, usually for shelter\nv. move through by or as by digging","n. 洞穴, 藏身处\nvi. 掘洞穴, 躲藏\nvt. 掘, 打洞"
burrow into,,v. 探查
burrowed,imp. & p. p. of Burrow,"v. 挖掘（洞穴）, 挖洞( burrow的过去式和过去分词 ); 翻寻"
burrower,"n. One who, or that which, burrows; an animal that makes a\n   hole under ground and lives in it.",n. burrow的变形
burrowers,"plural of burrower\nn. One who, or that which, burrows; an animal that makes a\n   hole under ground and lives in it.",(burrower 的复数) n. burrow的变形
burrowes,, [人名] [英格兰人姓氏] 伯罗斯 Burrows的变体
burrowing,v move through by or as by digging,"v. 挖掘（洞穴）, 挖洞( burrow的现在分词 ); 翻寻"
burrowing owl,, 穴鸮鸟
burrowing pus,,[医] 钻穿性脓
burrowings,plural of burrowing\nv move through by or as by digging,"(burrowing 的复数) v. 挖掘（洞穴）, 挖洞( burrow的现在分词 ); 翻寻"
Burrows,"n a hole made by an animal, usually for shelter\nv move through by or as by digging",n. 巴罗斯（姓氏）
burrs,n seed vessel having hooks or prickles\nn rough projection left on a workpiece after drilling or cutting\nn United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)\nn rotary file for smoothing rough edges left on a workpiece\nn small bit used in dentistry or surgery\nv remove the burrs from,n. 毛边；过火砖（burr的复数形式）
burrstone,n. See Buhrstone.,[机] 磨石
burrstone mill,,[化] 石磨机
burrton,, [地名] [美国] 伯顿
Burrus,,[计] 布锂斯
Burrus diode,,[计] 布锂斯二极管
burry,s having or covered with protective barbs or quills or spines or thorns or setae etc.,a. 多刺的
burs,n seed vessel having hooks or prickles\nn small bit used in dentistry or surgery\nv remove the burrs from,"n. （多）刺果, （刺果般的）粘附物, 牙钻( bur的名词复数 )"
bursa,n. a city in northwestern Turkey\nn. a small fluid-filled sac located between movable parts of the body especially at joints,"n. 囊, 黏液囊\n[医] 囊, 粘液囊, 伞(昆虫)"
bursa anserina,,"[医] 鹅趾囊, (膝内侧)"
bursa bicipitogastrocnemialis,,[医] 股二头腓肠(浅)肌囊
bursa bicipitoradialis,,[医] 肱二头肌桡骨囊
bursa coccygea,,[医] 尾骨囊
bursa copulatrix,,"[医] 交合щ, 交囊"
bursa cordis,,[医] 心包
bursa cubitalis interossea,,[医] 肘骨间囊
bursa gastrocnemiosemimembranacea,,[医] 腓肠半膜肌囊
bursa of biceps brachii,,[医] 肱二头肌囊
bursa of gastrocnemius,,[医] 腓肠肌囊
bursa omentalis,, <拉>网膜囊
bursae,pl.  of Bursa,"n. 囊, 粘液囊( bursa的名词复数 ); [医]（单bursa）囊, 粘液囊"
bursae et vaginae mucosae,,[医] 粘液鞘及囊
bursae et vaginae synoviales,,[医] 滑液鞘及囊
bursae gluteofemorales,,[医] 臀肌股骨囊
bursae iliaca subtendinea,,[医] 髂腱下囊
bursae iliopectinea,,[医] 髂耻囊
bursae infrahyoidea,,[医] 舌骨下囊
bursae infrapatellaris profunda,,[医] 髌下深囊
bursae infrapatellaris subcutanea,,[医] 髌下皮下囊
bursae intermetatarsophalangeae,,[医] 跖趾间囊
bursae intermusculares musculorum gluteorum,,"[医] 臀肌肌间囊, 臀肌股骨囊"
bursae intratendinea olecrani,,[医] 鹰嘴腱内囊
bursae ischiadica musculi glutaei maximi,,[医] 臀大肌坐骨囊
bursae ischiadica musculi obturatoris interni,,[医] 闭孔内肌坐骨囊
bursae mucosa,,[医] 粘液囊
bursae mucosa subcutanea,,[医] 皮下粘液囊
bursae mucosa subfascialis,,[医] 筋膜下粘液囊
bursae mucosa submuscularis,,[医] 肌下粘液囊
bursae mucosa subtendinea,,[医] 腱下粘液囊
bursae musculi bicipitis femoris,,[医] 股二头肌囊
bursae musculi bicipitis femoris inferior,,[医] 股二头肌下囊
bursae musculi bicipitis femoris superior,,[医] 股二头肌上囊
bursae musculi coracobrachialis,,[医] 喙肱肌囊
bursae musculi flexoris carpi radialis,,"[医] 桡侧腕屈肌囊, 桡侧腕屈肌腱滑液鞘"
bursae musculi flexoris carpi ulnaris,,[医] 尺侧腕屈肌囊
bursae musculi gastrocnemii,,[医] 腓肠肌囊
bursae musculi gastrocnemii lateralis,,[医] 腓肠肌外侧囊
bursae musculi gastrocnemii medialis,,[医] 腓肠肌内侧囊
bursae musculi infraspinati,,[医] 冈下肌囊
bursae musculi infraspinati subtendinea,,[医] 冈下肌囊
bursae musculi latissimi dorsi,,[医] 背阔肌囊
bursae musculi latissimi dorsi subtendinea,,[医] 背阔肌囊
bursae musculi lumbricalium pedis,,[医] 足蚓状肌囊
bursae musculi obturatorii interni,,[医] 闭孔内肌囊
bursae musculi pectinei,,[医] 耻骨肌囊
bursae musculi piriformis,,[医] 梨状肌囊
bursae musculi poplitei,,[医] ё肌囊
bursae musculi recti femoris,,[医] 股直肌囊
bursae musculi sartorii propria,,[医] 缝匠肌固有囊
bursae musculi semimembranacei tibialis,,[医] 半膜肌胫侧囊
bursae musculi semimembranosi,,[医] 半膜肌囊
bursae musculi sternohyoidei,,[医] 胸骨舌骨肌囊
bursae musculi subscapularis,,[医] 肩胛下肌囊
bursae musculi subscapularis subtendinea,,[医] 肩胛下肌囊
bursae musculi tensoris veli palatini,,[医] 腭帆张肌囊
bursae musculi teretis majoris,,[医] 大圆肌囊
bursae musculi teretis majoris subtendinea,,[医] 大圆肌囊
bursae musculi thyreohyoidei,,[医] 甲舌骨肌囊
bursae musculi trochlearis,,[医] 滑车囊
bursae of great toe,,[医] ы趾囊
bursae of hyoid,,[医] 舌骨[下]囊
bursae of semimembranosus,,[医] 半膜肌囊
bursae of trapezius,,[医] 斜方肌囊
bursae omentalis,,[医] 网膜囊
bursae ovarica,,[医] 卵巢囊
bursae pharyngea,,[医] 咽囊
bursae praepatellaris subcutanea,,[医] 髌骨皮下囊
bursae praepatellaris subfascialis,,[医] 髌骨筋膜下囊
bursae praepatellaris subtendinea,,[医] 髌骨腱下囊
bursae quadratus femoris,,[医] 股四头肌囊
bursae retrohyoidea,,"[医] 舌骨后囊, 胸骨舌骨肌囊"
bursae sabacromialis,,[医] 肩峰下囊
bursae sabtendinea iliaca,,[医] 髂腱下囊
bursae sinus tarsi,,[医] 跗骨窦囊
bursae subcatanea tuberositatis tibiae,,[医] 胫骨粗隆皮下囊
bursae subcoracoidea,,[医] 喙突下囊
bursae subcutanea acromialis,,[医] 肩峰皮下囊
bursae subcutanea calcanea,,[医] 跟皮下囊
bursae subcutanea epicondyli laterlis,,[医] 外上踝皮下囊(肱骨)
bursae subcutanea epicondyli medialis,,[医] 内上踝皮下囊(肱骨)
bursae subcutanea infrapatellaris,,[医] 髌下皮下囊
bursae subcutanea malleoli lateralis,,[医] 外踝皮下囊
bursae subcutanea malleoli medialis,,[医] 内踝皮下囊
bursae subcutanea olecrani,,[医] 鹰前皮下囊
bursae subcutanea praementalis,,[医] 颏前皮下囊
bursae subcutanea praepatellaris,,[医] 髌前皮下囊
bursae subcutanea prominentiae laryngeae,,[医] 喉结皮下囊
bursae subcutanea sacralis,,[医] 骶皮下囊
bursae subcutaneae digitorum dorsales,,[医] 指背皮下囊
bursae subcutaneae metacarpophalangeae dorsales,,[医] 掌指背侧皮下囊
bursae subdeltoidea,,[医] 三角肌下囊
bursae subfascialis,,[医] 筋膜下囊
bursae subhyoid,,[医] 舌骨下囊
bursae sublingualis,,"[医] 舌下囊, 弗莱希曼氏水囊瘤"
bursae submuscularis,,[医] 肌下囊
bursae subtendinea,,[医] 腱下囊
bursae subtendinea musculus obturatoris interni,,[医] 闭孔内肌囊
bursae subtendinea musculus tricipitis brachii,,[医] 肱三头肌腱下囊
bursae subtendinea olecrani,,[医] 鹰嘴腱下囊
bursae subtendinea praepatellaris,,[医] 髌骨腱下囊
bursae subtendineae musculus sartorii,,[医] 缝匠肌腱下囊
bursae suprapatellaris,,[医] 髌上囊
bursae synovialis,,"[医] 粘液囊, 滑[液]囊"
bursae synovialis subcutanea,,[医] 皮下粘液囊
bursae synovialis subfascialis,,[医] 筋膜下粘液囊
bursae synovialis submucularis,,[医] 肌下粘液囊
bursae synovialis subtendinea,,[医] 腱下粘液囊
bursae synovialis trochlearis,,"[医] 滑车[粘液]囊, 滑车肌囊"
bursae tendinis calcanei,,[医] 根腱囊
bursae trochanterica musculus glutaei maximi,,[医] 臀大肌转子囊
bursae trochanterica musculus glutaei minimi,,[医] 臀小肌转子囊
bursae trochanterica subcutanea,,[医] 皮下转子囊
bursae trochanterica subfascialis,,[医] 筋膜下转子囊
bursal,a relating to or affecting a bursa,"[医] 囊的, 粘液囊的"
bursal abscess,,[医] 滑液囊脓肿
bursal cyst,,[医] 粘液囊囊肿
bursal rays,,"[医] 散辅肋, 肋柱"
bursal synovitis,,"[医] 粘液囊炎, 滑囊炎"
bursalogy,,粘液囊论[学]
bursar,n. the treasurer at a college or university,"n. 财务主管, 领取奖学金的学生"
bursarial,,a. 财务主管的
Bursaridae,,[医] 袋形科
bursaries,n. the treasury of a public institution or religious order,"n. （尤指大学的）库房, 金库, 奖学金( bursary的复数形式 )"
bursars,n. the treasurer at a college or university,n. （大学等的）财务主管( bursar的复数形式 ); 奖学金获得者
bursarship,n. The office of a bursar.,n. 财务主管；会计员；领取奖学金的学生 (bursar的变形)
bursary,n. the treasury of a public institution or religious order,"n. 财务办公室, 大学奖学金"
Bursata,,[医] 交尾囊类(线性动之一部)
bursati,,夏疮
bursattee,,(兽类的)夏疮
bursatti,,[医] 夏疮(马)
burse,"n. A purse; also, a vesicle; a pod; a hull.\nn. A fund or foundation for the maintenance of needy scholars\n   in their studies; also, the sum given to the beneficiaries.\nn. An ornamental case of hold the corporal when not in use.\nn. An exchange, for merchants and bankers, in the cities of\n   continental Europe. Same as Bourse.\nn. A kind of bazaar.",n. 钱包；（大学 ）奖学金
burse mode,,"[计] 突发程序, 并发模式"
bursectomize,,vt.给…施黏液囊切除术
bursectomy,,n. [医]黏液囊切除术
burseed,,(=stickseed)[植]鹤虱属物
Bursera,,[网络] 裂榄属
Bursera simaruba,,[网络] 裂榄；苦木裂榄木；浓汤柔软
Burseraceae,n. resinous or aromatic chiefly tropical shrubs or trees,橄榄科
burseran,,[化] 裂榄素
burserine,,[医] 香橄榄树脂
bursey,, [人名] 伯西
bursh-off,,"n. 打发走, 毫不客气地拒绝, 不予理睬"
bursic acid,,[医] 荠菜酸
bursican,,鞣化激素
bursicle,,囊形托
bursicon,,粘液素
bursiculate,a. Bursiform.,a. [植][解]小囊状的
bursiform,s shaped like a pouch,a. 囊形的
bursin,, [医]法氏囊肽
bursine,,"[化] 氢氧化胆碱\n[医] 荠硷, 荠菜硷"
bursitis,n. inflammation of a bursa; frequently in the shoulder,"n. 黏液囊炎\n[医] 粘液囊炎, 滑囊炎"
bursitis calcarea,,[医] 钙化性粘液囊炎
bursitis ischiadica,,[医] 坐骨粘液囊炎
bursley,, [人名] 伯斯利
bursoline,,[医] 氢碘酸二甘氨酸碘
bursolith,,[医] 粘液囊石
burson,, [人名] 伯森
bursopathy,,[医] 粘液囊病
bursotomy,,[医] 粘液囊切开术
bursse intermetacarpophalangene,,[医] 掌指间囊
burst,"n. a sudden flurry of activity (often for no obvious reason)\nv. come open suddenly and violently, as if from internal pressure\nv. move suddenly, energetically, or violently\nv. emerge suddenly","n. 破裂, 突发, 爆发\nv. 爆裂, 突发, 充满\n[计] 二进制位组; 字符组; 脉冲串"
burst a blood vessel,,"十分激动,冲动,大动肝火"
burst abdomen,,[医] 腹脏内伤
burst amplifier,,[电] 彩色同步脉冲放大器
burst at the seams,,"充满,挤满,挤破"
burst error,,[计] 猝发错误
burst error detecting code,,[计] 猝发检错码
burst erros,,[电] 丛误
burst finger,,[医] 碎裂指
burst forth,,"突发, 爆发, 冒出"
burst forth like a fire,,像火山一样突然爆发
burst gating circuit,,"[计] 短促脉冲""门""电路"
burst in,,"闯入, 打断, 突然出现"
burst in on,, （因突然到来）阻碍某人[某事物]
burst into,,"闯入, 开出, 突然出现"
burst into a rage of tears,,嚎啕大哭
burst into eruption,,突然爆发
burst into flame,,突然燃烧起来
burst into laughter,,哈哈大笑起来
burst into laughters,,"放声大笑,突然笑起来"
burst into sth,,突然(唱/笑)起来
burst into tears,,突然哭起来
burst into uproarious laughter,,哄然大笑
burst into...,,"闯入, 突然发作, 突然...起来, 开出, 匆忙进入(房间)"
burst key,,[计] 激发键
burst mode,,[计] 猝发方式; 成组方式
burst noise,,[计] 猝发噪声
burst one's sides,,捧腹大笑
burst one's sides with laughter,,捧腹大笑
burst open,,猛然打开
burst out,,"闯出来, 大声喊, 突发"
burst out doing,,"突然叫喊, 大声叫喊, 突然...起来"
burst out laughing,,"放声大笑,突然笑起来"
burst pedestal,,[电] 爆炸踏板
burst pressure,,[电] 胀裂压力
burst separator,,[电] 彩色同步信号分离器
burst spacing,,[计] 猝发间隔
burst test,,[化] 破裂试验
burst through,,冲破
burst transmission,,"[计] 猝发传输, 突发传输, 脉冲串式传输"
burst up,,"爆炸, 失败, 垮台"
burst upon,,突然来到
burst with,,"充满,有许多…"
burst(ing) strength,,[化] 爆破强度; 崩裂强度; 崩裂力; 耐破度; 脆裂强度
burst-mode,,[计] 猝发状态
burst-oriented,,"[计] 猝发式, 成组式"
burst-oriented data transmission,,[计] 猝发式数据传输
burst-up,,"n. 失败, 破产"
burstall,, [人名] 伯斯塔尔; [地名] [加拿大、英国] 伯斯托尔
burstein,, [人名] 伯斯坦
burster,n a quantity of explosive to be set off at one time,"[计] 分组器, 分页器, 分片器"
burster-trimmer-stacker,,[计] 分纸器-剪切器-堆垛器
